[2025-07-14 16:41:53,382][__main__][INFO] - Train
[2025-07-14 16:43:54,700][__main__][INFO] - loss: 11.9201, loss_tr: 3.7720, loss_up: 2.8612, loss_right: 2.8706, loss_up_aux: 0.6730, loss_right_aux: 0.6854, loss_scale: 0.0176
[2025-07-14 16:45:45,908][__main__][INFO] - loss: 10.7922, loss_tr: 2.9646, loss_up: 2.7775, loss_right: 2.8069, loss_up_aux: 0.6678, loss_right_aux: 0.6845, loss_scale: 0.0148
[2025-07-14 16:47:39,015][__main__][INFO] - loss: 10.4178, loss_tr: 2.7152, loss_up: 2.7263, loss_right: 2.7850, loss_up_aux: 0.6600, loss_right_aux: 0.6817, loss_scale: 0.0142
[2025-07-14 16:49:28,876][__main__][INFO] - loss: 10.1494, loss_tr: 2.5897, loss_up: 2.6433, loss_right: 2.7532, loss_up_aux: 0.6498, loss_right_aux: 0.6783, loss_scale: 0.0139
[2025-07-14 16:51:21,819][__main__][INFO] - loss: 9.9572, loss_tr: 2.5224, loss_up: 2.5616, loss_right: 2.7361, loss_up_aux: 0.6463, loss_right_aux: 0.6781, loss_scale: 0.0135
[2025-07-14 16:53:12,748][__main__][INFO] - loss: 9.7756, loss_tr: 2.4642, loss_up: 2.4947, loss_right: 2.7138, loss_up_aux: 0.6405, loss_right_aux: 0.6758, loss_scale: 0.0131
[2025-07-14 16:55:02,919][__main__][INFO] - loss: 9.6099, loss_tr: 2.4335, loss_up: 2.4301, loss_right: 2.6848, loss_up_aux: 0.6366, loss_right_aux: 0.6750, loss_scale: 0.0125
[2025-07-14 16:57:00,684][__main__][INFO] - loss: 9.4598, loss_tr: 2.4023, loss_up: 2.3814, loss_right: 2.6560, loss_up_aux: 0.6328, loss_right_aux: 0.6747, loss_scale: 0.0119
[2025-07-14 16:58:55,684][__main__][INFO] - loss: 9.3667, loss_tr: 2.3899, loss_up: 2.3513, loss_right: 2.6261, loss_up_aux: 0.6295, loss_right_aux: 0.6738, loss_scale: 0.0116
[2025-07-14 17:00:51,282][__main__][INFO] - loss: 9.2465, loss_tr: 2.3640, loss_up: 2.3178, loss_right: 2.6015, loss_up_aux: 0.6260, loss_right_aux: 0.6729, loss_scale: 0.0111
[2025-07-14 17:02:50,367][__main__][INFO] - loss: 9.1968, loss_tr: 2.3703, loss_up: 2.3004, loss_right: 2.5827, loss_up_aux: 0.6243, loss_right_aux: 0.6728, loss_scale: 0.0108
[2025-07-14 17:04:46,231][__main__][INFO] - loss: 9.1140, loss_tr: 2.3561, loss_up: 2.2666, loss_right: 2.5512, loss_up_aux: 0.6215, loss_right_aux: 0.6717, loss_scale: 0.0108
[2025-07-14 17:06:43,547][__main__][INFO] - loss: 9.0043, loss_tr: 2.3410, loss_up: 2.2342, loss_right: 2.5213, loss_up_aux: 0.6215, loss_right_aux: 0.6709, loss_scale: 0.0103
[2025-07-14 17:08:38,982][__main__][INFO] - loss: 8.9343, loss_tr: 2.3324, loss_up: 2.2154, loss_right: 2.5066, loss_up_aux: 0.6200, loss_right_aux: 0.6706, loss_scale: 0.0098
[2025-07-14 17:10:29,829][__main__][INFO] - loss: 8.8670, loss_tr: 2.3195, loss_up: 2.1947, loss_right: 2.4863, loss_up_aux: 0.6181, loss_right_aux: 0.6704, loss_scale: 0.0096
[2025-07-14 17:12:22,004][__main__][INFO] - loss: 8.7956, loss_tr: 2.3070, loss_up: 2.1812, loss_right: 2.4693, loss_up_aux: 0.6167, loss_right_aux: 0.6696, loss_scale: 0.0092
[2025-07-14 17:14:21,537][__main__][INFO] - loss: 8.7418, loss_tr: 2.3031, loss_up: 2.1662, loss_right: 2.4551, loss_up_aux: 0.6155, loss_right_aux: 0.6691, loss_scale: 0.0089
[2025-07-14 17:16:21,926][__main__][INFO] - loss: 8.6715, loss_tr: 2.2921, loss_up: 2.1531, loss_right: 2.4398, loss_up_aux: 0.6147, loss_right_aux: 0.6677, loss_scale: 0.0084
[2025-07-14 17:18:21,404][__main__][INFO] - loss: 8.6784, loss_tr: 2.3001, loss_up: 2.1463, loss_right: 2.4322, loss_up_aux: 0.6135, loss_right_aux: 0.6678, loss_scale: 0.0086
[2025-07-14 17:20:14,821][__main__][INFO] - loss: 8.6194, loss_tr: 2.2872, loss_up: 2.1308, loss_right: 2.4264, loss_up_aux: 0.6112, loss_right_aux: 0.6670, loss_scale: 0.0083
[2025-07-14 17:22:07,261][__main__][INFO] - loss: 8.5853, loss_tr: 2.2746, loss_up: 2.1178, loss_right: 2.4105, loss_up_aux: 0.6102, loss_right_aux: 0.6664, loss_scale: 0.0084
[2025-07-14 17:23:57,864][__main__][INFO] - loss: 8.5481, loss_tr: 2.2780, loss_up: 2.1141, loss_right: 2.3990, loss_up_aux: 0.6097, loss_right_aux: 0.6653, loss_scale: 0.0080
