[2025-07-14 16:41:37,549][__main__][INFO] - Train
[2025-07-14 16:43:28,718][__main__][INFO] - loss: 25.1841, loss_tr: 3.9808, loss_up: 2.4419, loss_right: 3.0345, loss_up_aux: 0.6941, loss_right_aux: 0.6940, loss_scale: 0.2390
[2025-07-14 16:45:23,198][__main__][INFO] - loss: 21.0765, loss_tr: 3.7315, loss_up: 2.3783, loss_right: 3.0110, loss_up_aux: 0.6925, loss_right_aux: 0.6908, loss_scale: 0.1762
[2025-07-14 16:47:18,332][__main__][INFO] - loss: 20.7642, loss_tr: 3.7174, loss_up: 2.3698, loss_right: 3.0113, loss_up_aux: 0.6922, loss_right_aux: 0.6908, loss_scale: 0.1714
[2025-07-14 16:49:17,787][__main__][INFO] - loss: 19.4648, loss_tr: 3.6926, loss_up: 2.3619, loss_right: 3.0028, loss_up_aux: 0.6917, loss_right_aux: 0.6905, loss_scale: 0.1504
[2025-07-14 16:51:12,148][__main__][INFO] - loss: 19.7613, loss_tr: 3.6654, loss_up: 2.3620, loss_right: 3.0025, loss_up_aux: 0.6918, loss_right_aux: 0.6899, loss_scale: 0.1558
[2025-07-14 16:53:09,533][__main__][INFO] - loss: 18.1561, loss_tr: 3.5923, loss_up: 2.3433, loss_right: 2.9952, loss_up_aux: 0.6911, loss_right_aux: 0.6893, loss_scale: 0.1308
[2025-07-14 16:55:10,033][__main__][INFO] - loss: 17.8975, loss_tr: 3.5240, loss_up: 2.3369, loss_right: 2.9881, loss_up_aux: 0.6896, loss_right_aux: 0.6891, loss_scale: 0.1278
[2025-07-14 16:57:07,543][__main__][INFO] - loss: 18.7098, loss_tr: 3.5008, loss_up: 2.3325, loss_right: 2.9935, loss_up_aux: 0.6890, loss_right_aux: 0.6890, loss_scale: 0.1417
[2025-07-14 16:59:02,750][__main__][INFO] - loss: 18.8511, loss_tr: 3.4940, loss_up: 2.3227, loss_right: 2.9941, loss_up_aux: 0.6887, loss_right_aux: 0.6890, loss_scale: 0.1444
[2025-07-14 17:00:57,641][__main__][INFO] - loss: 16.8912, loss_tr: 3.4481, loss_up: 2.3058, loss_right: 2.9842, loss_up_aux: 0.6877, loss_right_aux: 0.6885, loss_scale: 0.1129
[2025-07-14 17:02:52,951][__main__][INFO] - loss: 16.9160, loss_tr: 3.4454, loss_up: 2.2913, loss_right: 2.9752, loss_up_aux: 0.6873, loss_right_aux: 0.6878, loss_scale: 0.1138
[2025-07-14 17:04:51,118][__main__][INFO] - loss: 16.0834, loss_tr: 3.4254, loss_up: 2.2773, loss_right: 2.9629, loss_up_aux: 0.6858, loss_right_aux: 0.6876, loss_scale: 0.1007
[2025-07-14 17:06:52,292][__main__][INFO] - loss: 16.5547, loss_tr: 3.4057, loss_up: 2.2633, loss_right: 2.9619, loss_up_aux: 0.6846, loss_right_aux: 0.6875, loss_scale: 0.1092
[2025-07-14 17:08:51,443][__main__][INFO] - loss: 15.3982, loss_tr: 3.3895, loss_up: 2.2476, loss_right: 2.9468, loss_up_aux: 0.6807, loss_right_aux: 0.6870, loss_scale: 0.0908
[2025-07-14 17:10:48,353][__main__][INFO] - loss: 15.3513, loss_tr: 3.3835, loss_up: 2.2538, loss_right: 2.9458, loss_up_aux: 0.6768, loss_right_aux: 0.6871, loss_scale: 0.0901
[2025-07-14 17:12:43,892][__main__][INFO] - loss: 15.3527, loss_tr: 3.3769, loss_up: 2.2350, loss_right: 2.9427, loss_up_aux: 0.6679, loss_right_aux: 0.6868, loss_scale: 0.0907
[2025-07-14 17:14:35,681][__main__][INFO] - loss: 14.3694, loss_tr: 3.3674, loss_up: 2.2231, loss_right: 2.9312, loss_up_aux: 0.6548, loss_right_aux: 0.6867, loss_scale: 0.0751
[2025-07-14 17:16:26,992][__main__][INFO] - loss: 14.6760, loss_tr: 3.3554, loss_up: 2.2091, loss_right: 2.9348, loss_up_aux: 0.6435, loss_right_aux: 0.6865, loss_scale: 0.0808
[2025-07-14 17:18:19,356][__main__][INFO] - loss: 15.7043, loss_tr: 3.3829, loss_up: 2.2285, loss_right: 2.9466, loss_up_aux: 0.6466, loss_right_aux: 0.6864, loss_scale: 0.0969
[2025-07-14 17:20:11,460][__main__][INFO] - loss: 14.4481, loss_tr: 3.3525, loss_up: 2.2117, loss_right: 2.9271, loss_up_aux: 0.6379, loss_right_aux: 0.6859, loss_scale: 0.0772
[2025-07-14 17:22:09,004][__main__][INFO] - loss: 14.3011, loss_tr: 3.3405, loss_up: 2.1957, loss_right: 2.9194, loss_up_aux: 0.6263, loss_right_aux: 0.6859, loss_scale: 0.0756
[2025-07-14 17:24:10,787][__main__][INFO] - loss: 13.9081, loss_tr: 3.3220, loss_up: 2.1789, loss_right: 2.9116, loss_up_aux: 0.6230, loss_right_aux: 0.6852, loss_scale: 0.0698
[2025-07-14 17:26:08,275][__main__][INFO] - loss: 14.3537, loss_tr: 3.3345, loss_up: 2.1872, loss_right: 2.9145, loss_up_aux: 0.6209, loss_right_aux: 0.6854, loss_scale: 0.0769
[2025-07-14 17:28:08,070][__main__][INFO] - loss: 13.5719, loss_tr: 3.3247, loss_up: 2.1716, loss_right: 2.9065, loss_up_aux: 0.6164, loss_right_aux: 0.6843, loss_scale: 0.0645
[2025-07-14 17:30:05,092][__main__][INFO] - loss: 13.3572, loss_tr: 3.3087, loss_up: 2.1708, loss_right: 2.8975, loss_up_aux: 0.6093, loss_right_aux: 0.6841, loss_scale: 0.0614
[2025-07-14 17:31:59,205][__main__][INFO] - loss: 13.9061, loss_tr: 3.3225, loss_up: 2.1721, loss_right: 2.9015, loss_up_aux: 0.6123, loss_right_aux: 0.6840, loss_scale: 0.0702
[2025-07-14 17:33:52,104][__main__][INFO] - loss: 13.0829, loss_tr: 3.2962, loss_up: 2.1613, loss_right: 2.8863, loss_up_aux: 0.6032, loss_right_aux: 0.6835, loss_scale: 0.0575
[2025-07-14 17:35:47,340][__main__][INFO] - loss: 13.2066, loss_tr: 3.2910, loss_up: 2.1544, loss_right: 2.8818, loss_up_aux: 0.5987, loss_right_aux: 0.6836, loss_scale: 0.0600
[2025-07-14 17:37:41,523][__main__][INFO] - loss: 12.8233, loss_tr: 3.2885, loss_up: 2.1462, loss_right: 2.8772, loss_up_aux: 0.5897, loss_right_aux: 0.6833, loss_scale: 0.0540
[2025-07-14 17:39:35,492][__main__][INFO] - loss: 13.2525, loss_tr: 3.2903, loss_up: 2.1483, loss_right: 2.8789, loss_up_aux: 0.5852, loss_right_aux: 0.6835, loss_scale: 0.0611
[2025-07-14 17:41:30,863][__main__][INFO] - loss: 13.5075, loss_tr: 3.3008, loss_up: 2.1580, loss_right: 2.8811, loss_up_aux: 0.5868, loss_right_aux: 0.6830, loss_scale: 0.0650
[2025-07-14 17:43:24,464][__main__][INFO] - loss: 12.9752, loss_tr: 3.2822, loss_up: 2.1415, loss_right: 2.8672, loss_up_aux: 0.5839, loss_right_aux: 0.6822, loss_scale: 0.0570
[2025-07-14 17:45:21,892][__main__][INFO] - loss: 12.4798, loss_tr: 3.2651, loss_up: 2.1362, loss_right: 2.8636, loss_up_aux: 0.5771, loss_right_aux: 0.6822, loss_scale: 0.0493
[2025-07-14 17:47:18,350][__main__][INFO] - loss: 12.7192, loss_tr: 3.2813, loss_up: 2.1418, loss_right: 2.8568, loss_up_aux: 0.5734, loss_right_aux: 0.6820, loss_scale: 0.0531
[2025-07-14 17:49:15,345][__main__][INFO] - loss: 13.4190, loss_tr: 3.2864, loss_up: 2.1405, loss_right: 2.8730, loss_up_aux: 0.5839, loss_right_aux: 0.6825, loss_scale: 0.0642
[2025-07-14 17:51:16,556][__main__][INFO] - loss: 12.3991, loss_tr: 3.2752, loss_up: 2.1332, loss_right: 2.8516, loss_up_aux: 0.5743, loss_right_aux: 0.6811, loss_scale: 0.0481
[2025-07-14 17:53:10,997][__main__][INFO] - loss: 13.0298, loss_tr: 3.2729, loss_up: 2.1301, loss_right: 2.8468, loss_up_aux: 0.5724, loss_right_aux: 0.6815, loss_scale: 0.0588
[2025-07-14 17:55:02,916][__main__][INFO] - loss: 12.1419, loss_tr: 3.2629, loss_up: 2.1299, loss_right: 2.8397, loss_up_aux: 0.5700, loss_right_aux: 0.6807, loss_scale: 0.0443
[2025-07-14 17:56:58,944][__main__][INFO] - loss: 13.2009, loss_tr: 3.2879, loss_up: 2.1544, loss_right: 2.8529, loss_up_aux: 0.5724, loss_right_aux: 0.6818, loss_scale: 0.0609
[2025-07-14 17:58:52,838][__main__][INFO] - loss: 12.1177, loss_tr: 3.2539, loss_up: 2.1343, loss_right: 2.8337, loss_up_aux: 0.5670, loss_right_aux: 0.6812, loss_scale: 0.0441
[2025-07-14 18:00:49,707][__main__][INFO] - loss: 12.4411, loss_tr: 3.2518, loss_up: 2.1305, loss_right: 2.8378, loss_up_aux: 0.5703, loss_right_aux: 0.6813, loss_scale: 0.0495
[2025-07-14 18:02:48,439][__main__][INFO] - loss: 12.1682, loss_tr: 3.2596, loss_up: 2.1361, loss_right: 2.8336, loss_up_aux: 0.5711, loss_right_aux: 0.6809, loss_scale: 0.0448
[2025-07-14 18:04:44,582][__main__][INFO] - loss: 12.1135, loss_tr: 3.2495, loss_up: 2.1209, loss_right: 2.8284, loss_up_aux: 0.5668, loss_right_aux: 0.6810, loss_scale: 0.0444
[2025-07-14 18:06:42,064][__main__][INFO] - loss: 12.9279, loss_tr: 3.2691, loss_up: 2.1390, loss_right: 2.8453, loss_up_aux: 0.5695, loss_right_aux: 0.6814, loss_scale: 0.0571
[2025-07-14 18:08:36,363][__main__][INFO] - loss: 12.4273, loss_tr: 3.2490, loss_up: 2.1240, loss_right: 2.8298, loss_up_aux: 0.5676, loss_right_aux: 0.6808, loss_scale: 0.0496
[2025-07-14 18:10:41,528][__main__][INFO] - loss: 12.2094, loss_tr: 3.2473, loss_up: 2.1067, loss_right: 2.8241, loss_up_aux: 0.5619, loss_right_aux: 0.6815, loss_scale: 0.0465
[2025-07-14 18:12:36,561][__main__][INFO] - loss: 12.1789, loss_tr: 3.2428, loss_up: 2.1029, loss_right: 2.8190, loss_up_aux: 0.5645, loss_right_aux: 0.6810, loss_scale: 0.0461
[2025-07-14 18:14:32,715][__main__][INFO] - loss: 12.3092, loss_tr: 3.2470, loss_up: 2.0998, loss_right: 2.8143, loss_up_aux: 0.5633, loss_right_aux: 0.6809, loss_scale: 0.0484
[2025-07-14 18:16:29,884][__main__][INFO] - loss: 11.7239, loss_tr: 3.2312, loss_up: 2.1000, loss_right: 2.8080, loss_up_aux: 0.5638, loss_right_aux: 0.6804, loss_scale: 0.0390
[2025-07-14 18:18:25,992][__main__][INFO] - loss: 11.8252, loss_tr: 3.2387, loss_up: 2.0973, loss_right: 2.8095, loss_up_aux: 0.5613, loss_right_aux: 0.6806, loss_scale: 0.0406
[2025-07-14 18:20:22,256][__main__][INFO] - loss: 13.1015, loss_tr: 3.2590, loss_up: 2.1207, loss_right: 2.8369, loss_up_aux: 0.5711, loss_right_aux: 0.6817, loss_scale: 0.0605
[2025-07-14 18:22:16,331][__main__][INFO] - loss: 11.8696, loss_tr: 3.2265, loss_up: 2.0917, loss_right: 2.8131, loss_up_aux: 0.5617, loss_right_aux: 0.6806, loss_scale: 0.0416
[2025-07-14 18:24:11,625][__main__][INFO] - loss: 12.5677, loss_tr: 3.2481, loss_up: 2.0922, loss_right: 2.8125, loss_up_aux: 0.5613, loss_right_aux: 0.6807, loss_scale: 0.0529
[2025-07-14 18:26:16,218][__main__][INFO] - loss: 11.8517, loss_tr: 3.2347, loss_up: 2.0995, loss_right: 2.8045, loss_up_aux: 0.5587, loss_right_aux: 0.6802, loss_scale: 0.0412
[2025-07-14 18:28:17,415][__main__][INFO] - loss: 12.2376, loss_tr: 3.2429, loss_up: 2.1004, loss_right: 2.8068, loss_up_aux: 0.5590, loss_right_aux: 0.6805, loss_scale: 0.0475
[2025-07-14 18:30:21,016][__main__][INFO] - loss: 12.0105, loss_tr: 3.2444, loss_up: 2.0962, loss_right: 2.8044, loss_up_aux: 0.5592, loss_right_aux: 0.6802, loss_scale: 0.0438
[2025-07-14 18:32:24,617][__main__][INFO] - loss: 11.5660, loss_tr: 3.2210, loss_up: 2.0820, loss_right: 2.7925, loss_up_aux: 0.5576, loss_right_aux: 0.6802, loss_scale: 0.0372
[2025-07-14 18:34:22,844][__main__][INFO] - loss: 11.6004, loss_tr: 3.2145, loss_up: 2.0781, loss_right: 2.7923, loss_up_aux: 0.5570, loss_right_aux: 0.6800, loss_scale: 0.0380
[2025-07-14 18:36:23,252][__main__][INFO] - loss: 12.1527, loss_tr: 3.2322, loss_up: 2.0880, loss_right: 2.8000, loss_up_aux: 0.5598, loss_right_aux: 0.6801, loss_scale: 0.0465
[2025-07-14 18:38:22,491][__main__][INFO] - loss: 11.8593, loss_tr: 3.2253, loss_up: 2.0838, loss_right: 2.7900, loss_up_aux: 0.5585, loss_right_aux: 0.6800, loss_scale: 0.0420
[2025-07-14 18:40:25,315][__main__][INFO] - loss: 11.6452, loss_tr: 3.2110, loss_up: 2.0666, loss_right: 2.7884, loss_up_aux: 0.5580, loss_right_aux: 0.6797, loss_scale: 0.0390
[2025-07-14 18:42:26,350][__main__][INFO] - loss: 11.5791, loss_tr: 3.2148, loss_up: 2.0669, loss_right: 2.7862, loss_up_aux: 0.5559, loss_right_aux: 0.6794, loss_scale: 0.0379
[2025-07-14 18:44:28,577][__main__][INFO] - loss: 11.9773, loss_tr: 3.2173, loss_up: 2.0843, loss_right: 2.7982, loss_up_aux: 0.5602, loss_right_aux: 0.6802, loss_scale: 0.0440
[2025-07-14 18:46:31,257][__main__][INFO] - loss: 12.2371, loss_tr: 3.2169, loss_up: 2.0823, loss_right: 2.8006, loss_up_aux: 0.5606, loss_right_aux: 0.6806, loss_scale: 0.0483
[2025-07-14 18:48:28,296][__main__][INFO] - loss: 11.4505, loss_tr: 3.2105, loss_up: 2.0698, loss_right: 2.7882, loss_up_aux: 0.5577, loss_right_aux: 0.6800, loss_scale: 0.0357
[2025-07-14 18:50:24,107][__main__][INFO] - loss: 11.8627, loss_tr: 3.2150, loss_up: 2.0741, loss_right: 2.7918, loss_up_aux: 0.5560, loss_right_aux: 0.6797, loss_scale: 0.0424
[2025-07-14 18:52:21,198][__main__][INFO] - loss: 11.9316, loss_tr: 3.2141, loss_up: 2.0686, loss_right: 2.7941, loss_up_aux: 0.5548, loss_right_aux: 0.6798, loss_scale: 0.0437
[2025-07-14 18:54:22,473][__main__][INFO] - loss: 11.6298, loss_tr: 3.2033, loss_up: 2.0634, loss_right: 2.7810, loss_up_aux: 0.5549, loss_right_aux: 0.6796, loss_scale: 0.0391
[2025-07-14 18:56:18,452][__main__][INFO] - loss: 11.4981, loss_tr: 3.1929, loss_up: 2.0595, loss_right: 2.7799, loss_up_aux: 0.5560, loss_right_aux: 0.6795, loss_scale: 0.0372
[2025-07-14 18:58:19,863][__main__][INFO] - loss: 11.4103, loss_tr: 3.1903, loss_up: 2.0589, loss_right: 2.7842, loss_up_aux: 0.5517, loss_right_aux: 0.6798, loss_scale: 0.0358
[2025-07-14 19:00:26,468][__main__][INFO] - loss: 11.5912, loss_tr: 3.2060, loss_up: 2.0626, loss_right: 2.7832, loss_up_aux: 0.5552, loss_right_aux: 0.6799, loss_scale: 0.0384
[2025-07-14 19:02:26,237][__main__][INFO] - loss: 11.5172, loss_tr: 3.2019, loss_up: 2.0576, loss_right: 2.7827, loss_up_aux: 0.5529, loss_right_aux: 0.6798, loss_scale: 0.0374
[2025-07-14 19:04:28,647][__main__][INFO] - loss: 11.3452, loss_tr: 3.1900, loss_up: 2.0486, loss_right: 2.7740, loss_up_aux: 0.5525, loss_right_aux: 0.6795, loss_scale: 0.0350
[2025-07-14 19:06:27,505][__main__][INFO] - loss: 11.7377, loss_tr: 3.2039, loss_up: 2.0648, loss_right: 2.7776, loss_up_aux: 0.5528, loss_right_aux: 0.6799, loss_scale: 0.0410
[2025-07-14 19:08:26,162][__main__][INFO] - loss: 11.6236, loss_tr: 3.1953, loss_up: 2.0534, loss_right: 2.7753, loss_up_aux: 0.5527, loss_right_aux: 0.6795, loss_scale: 0.0395
[2025-07-14 19:10:24,981][__main__][INFO] - loss: 11.0876, loss_tr: 3.1873, loss_up: 2.0509, loss_right: 2.7679, loss_up_aux: 0.5514, loss_right_aux: 0.6794, loss_scale: 0.0308
[2025-07-14 19:12:24,692][__main__][INFO] - loss: 11.6598, loss_tr: 3.1936, loss_up: 2.0517, loss_right: 2.7754, loss_up_aux: 0.5541, loss_right_aux: 0.6796, loss_scale: 0.0401
[2025-07-14 19:14:25,939][__main__][INFO] - loss: 11.3783, loss_tr: 3.1958, loss_up: 2.0544, loss_right: 2.7745, loss_up_aux: 0.5541, loss_right_aux: 0.6792, loss_scale: 0.0353
[2025-07-14 19:16:24,833][__main__][INFO] - loss: 11.4679, loss_tr: 3.1853, loss_up: 2.0476, loss_right: 2.7703, loss_up_aux: 0.5507, loss_right_aux: 0.6793, loss_scale: 0.0372
[2025-07-14 19:18:24,471][__main__][INFO] - loss: 11.4722, loss_tr: 3.1916, loss_up: 2.0473, loss_right: 2.7803, loss_up_aux: 0.5523, loss_right_aux: 0.6795, loss_scale: 0.0370
[2025-07-14 19:20:24,304][__main__][INFO] - loss: 11.8064, loss_tr: 3.2128, loss_up: 2.0497, loss_right: 2.7791, loss_up_aux: 0.5537, loss_right_aux: 0.6800, loss_scale: 0.0422
[2025-07-14 19:22:26,080][__main__][INFO] - loss: 11.4067, loss_tr: 3.1837, loss_up: 2.0394, loss_right: 2.7663, loss_up_aux: 0.5505, loss_right_aux: 0.6793, loss_scale: 0.0365
[2025-07-14 19:24:27,814][__main__][INFO] - loss: 11.6317, loss_tr: 3.2020, loss_up: 2.0555, loss_right: 2.7792, loss_up_aux: 0.5547, loss_right_aux: 0.6792, loss_scale: 0.0394
[2025-07-14 19:26:34,302][__main__][INFO] - loss: 11.4780, loss_tr: 3.1975, loss_up: 2.0485, loss_right: 2.7685, loss_up_aux: 0.5515, loss_right_aux: 0.6790, loss_scale: 0.0372
[2025-07-14 19:28:38,551][__main__][INFO] - loss: 11.5557, loss_tr: 3.1923, loss_up: 2.0482, loss_right: 2.7718, loss_up_aux: 0.5524, loss_right_aux: 0.6790, loss_scale: 0.0385
[2025-07-14 19:30:41,413][__main__][INFO] - loss: 11.4110, loss_tr: 3.1823, loss_up: 2.0396, loss_right: 2.7664, loss_up_aux: 0.5507, loss_right_aux: 0.6785, loss_scale: 0.0366
[2025-07-14 19:32:47,350][__main__][INFO] - loss: 11.5682, loss_tr: 3.1904, loss_up: 2.0380, loss_right: 2.7661, loss_up_aux: 0.5514, loss_right_aux: 0.6790, loss_scale: 0.0391
[2025-07-14 19:34:55,275][__main__][INFO] - loss: 11.0984, loss_tr: 3.1805, loss_up: 2.0392, loss_right: 2.7655, loss_up_aux: 0.5517, loss_right_aux: 0.6788, loss_scale: 0.0314
[2025-07-14 19:37:02,051][__main__][INFO] - loss: 11.3987, loss_tr: 3.1817, loss_up: 2.0360, loss_right: 2.7612, loss_up_aux: 0.5507, loss_right_aux: 0.6780, loss_scale: 0.0365
[2025-07-14 19:39:05,941][__main__][INFO] - loss: 11.1970, loss_tr: 3.1795, loss_up: 2.0314, loss_right: 2.7574, loss_up_aux: 0.5481, loss_right_aux: 0.6779, loss_scale: 0.0334
[2025-07-14 19:41:07,165][__main__][INFO] - loss: 11.2685, loss_tr: 3.1841, loss_up: 2.0352, loss_right: 2.7640, loss_up_aux: 0.5516, loss_right_aux: 0.6781, loss_scale: 0.0343
[2025-07-14 19:43:09,573][__main__][INFO] - loss: 11.1162, loss_tr: 3.1898, loss_up: 2.0380, loss_right: 2.7604, loss_up_aux: 0.5474, loss_right_aux: 0.6778, loss_scale: 0.0317
[2025-07-14 19:45:13,800][__main__][INFO] - loss: 11.4361, loss_tr: 3.1860, loss_up: 2.0380, loss_right: 2.7628, loss_up_aux: 0.5513, loss_right_aux: 0.6778, loss_scale: 0.0370
